X,filing_date,trade_date,ticker,company,insider,title,trade_type,price,qty,Owned,ΔOwn,value,1d,1w,1m,6m,entry_date,entry_price,ret_1w,ret_1m,ret_3m,ret_6m
M,2025-03-27 18:31:57,2025-03-25,ASAN,"Asana, Inc.",Moskovitz Dustin A.,"Pres, CEO, Chair, 10%",P - Purchase,15.25,450000.0,53845482,+1%,6860250.0,,,,,2025-03-28,14.729999542236328,-0.03937542034831576,0.09164972324668308,-0.08350302650787378,-0.07671413414009132
M,2025-03-27 18:03:35,2025-03-25,LIVE,Live Ventures Inc,Isaac Jon,"CEO, Pres, 10%",P - Purchase,7.02,55796.0,1574483,+4%,391551.0,,,,,2025-03-28,7.539999961853027,0.09416446176910642,0.4283820308026687,1.3050396881560857,1.4668435643995146
,2025-03-27 16:37:44,2025-03-25,PRLD,Prelude Therapeutics Inc,Vaddi Krishna,CEO,P - Purchase,0.69,675000.0,3669054,+23%,467438.0,,,,,2025-03-28,0.8040000200271606,-0.1604477672797493,0.12064676672240138,0.0062188993869172204,0.7039800629881705
,2025-03-27 08:13:46,2025-03-26,VNRX,Volitionrx Ltd,Reynolds Cameron John,"Pres, CEO",P - Purchase,0.55,181818.0,3341016,+6%,100000.0,,,,,2025-03-28,10.600000381469727,0.0,-0.03773590168014018,0.43396219455207263,0.16981124266817904
,2025-03-26 16:03:00,2025-03-26,IMNM,Immunome Inc.,Siegall Clay B,"Pres, CEO",P - Purchase,7.29,137100.0,806736,+20%,999459.0,,,,,2025-03-27,7.599999904632568,-0.17894738823423118,0.12894737254879818,0.15394744313324682,0.5250000392135825
,2025-03-25 16:31:21,2025-03-25,FG,"F&G Annuities & Life, Inc.",Blunt Christopher O,CEO,P - Purchase,35.65,10000.0,839584,+1%,356450.0,,,,,2025-03-26,34.00345254372238,0.03896092518777183,-0.012140170377281656,-0.08223675381462181,-0.09378923285975793
D,2025-03-24 21:34:00,2025-03-20,MODD,"Modular Medical, Inc.",Manchester Management Co LLC,"CEO, 10%",P - Purchase,1.92,677082.0,4764274,+17%,1299997.0,,,,,2025-03-25,35.70000076293945,-0.09243695144360642,-0.21344539709768862,-0.3193277670098362,-0.38739494756714754
DM,2025-03-24 18:28:13,2025-03-21,PEB,Pebblebrook Hotel Trust,Bortz Jon E,"COB, CEO",P - Purchase,10.27,53000.0,1685110,+3%,544330.0,,,,,2025-03-25,10.582049562710969,-0.026321918910042652,-0.152504642532164,-0.10636322572165424,0.07550815746942474
,2025-03-24 17:33:56,2025-03-20,ULTA,"Ulta Beauty, Inc.",Steelman Kecia,"Pres, CEO",P - Purchase,346.9,1440.0,16992,+9%,499528.0,,,,,2025-03-25,368.4800109863281,0.014736193318184432,0.047356657536846924,0.2459020371526326,0.4535659177762983
,2025-03-24 16:42:11,2025-03-24,FG,"F&G Annuities & Life, Inc.",Blunt Christopher O,CEO,P - Purchase,35.03,10000.0,829584,+1%,350274.0,,,,,2025-03-25,33.84984808740757,0.04594442264643739,0.001985276872672692,-0.09892113107870759,-0.07099342111726459
